title	author	ave_rating	no_rating	link
Harry Potter and the Sorcerer's Stone (Harry Potter, #1)	J.K. Rowling	4.47	8,050,889	https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone
The Lord of the Rings	J.R.R. Tolkien	4.50	609,964	https://www.goodreads.com/book/show/33.The_Lord_of_the_Rings
A Game of Thrones (A Song of Ice and Fire, #1)	George R.R. Martin	4.44	2,173,669	https://www.goodreads.com/book/show/13496.A_Game_of_Thrones
The Name of the Wind (The Kingkiller Chronicle, #1)	Patrick Rothfuss	4.51	806,535	https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind
The Chronicles of Narnia (Chronicles of Narnia, #1-7)	C.S. Lewis	4.25	575,127	https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia
The Lightning Thief (Percy Jackson and the Olympians, #1)	Rick Riordan	4.27	2,307,645	https://www.goodreads.com/book/show/28187.The_Lightning_Thief
The Final Empire (Mistborn, #1)	Brandon Sanderson	4.44	481,997	https://www.goodreads.com/book/show/68428.The_Final_Empire
The Eye of the World (The Wheel of Time, #1)	Robert Jordan	4.17	442,806	https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
His Dark Materials (His Dark Materials #1-3)	Philip Pullman	4.25	154,954	https://www.goodreads.com/book/show/18116.His_Dark_Materials
The Way of Kings (The Stormlight Archive, #1)	Brandon Sanderson	4.61	368,024	https://www.goodreads.com/book/show/7235533-the-way-of-kings
Eragon, Eldest & Brisingr (Inheritance, #1-3)	Christopher Paolini	4.24	33,607	https://www.goodreads.com/book/show/2479827.Eragon_Eldest_Brisingr
Assassin's Apprentice (Farseer Trilogy, #1)	Robin Hobb	4.16	264,957	https://www.goodreads.com/book/show/45107.Assassin_s_Apprentice
City of Bones (The Mortal Instruments, #1)	Cassandra Clare	4.08	1,779,153	https://www.goodreads.com/book/show/256683.City_of_Bones
The Gunslinger (The Dark Tower, #1)	Stephen King	3.94	553,181	https://www.goodreads.com/book/show/43615.The_Gunslinger
The Color of Magic (Discworld, #1; Rincewind, #1)	Terry Pratchett	3.98	346,161	https://www.goodreads.com/book/show/34497.The_Color_of_Magic
Wizard's First Rule (Sword of Truth, #1)	Terry Goodkind	4.11	239,649	https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
The Belgariad, Vol. 1: Pawn of Prophecy / Queen of Sorcery / Magician's Gambit (The Belgariad, #1-3)	David Eddings	4.28	15,505	https://www.goodreads.com/book/show/18878.The_Belgariad_Vol_1
Artemis Fowl (Artemis Fowl, #1)	Eoin Colfer	3.85	535,918	https://www.goodreads.com/book/show/249747.Artemis_Fowl
The Way of Shadows (Night Angel, #1)	Brent Weeks	4.13	159,041	https://www.goodreads.com/book/show/3227063-the-way-of-shadows
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,396	https://www.goodreads.com/book/show/47212.Storm_Front
The Lies of Locke Lamora (Gentleman Bastard, #1)	Scott Lynch	4.25	259,792	https://www.goodreads.com/book/show/127455.The_Lies_of_Locke_Lamora
A Wizard of Earthsea (Earthsea Cycle, #1)	Ursula K. Le Guin	3.99	272,972	https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
The Blade Itself (The First Law, #1)	Joe Abercrombie	4.17	191,602	https://www.goodreads.com/book/show/944073.The_Blade_Itself
Sabriel (Abhorsen, #1)	Garth Nix	4.13	203,415	https://www.goodreads.com/book/show/518848.Sabriel
Inkheart (Inkworld, #1)	Cornelia Funke	3.89	405,113	https://www.goodreads.com/book/show/28194.Inkheart
Gardens of the Moon (Malazan Book of the Fallen, #1)	Steven Erikson	3.89	103,143	https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon
Dragonflight (Dragonriders of Pern, #1)	Anne McCaffrey	4.08	135,668	https://www.goodreads.com/book/show/61975.Dragonflight
The Mists of Avalon (Avalon, #1)	Marion Zimmer Bradley	4.11	202,143	https://www.goodreads.com/book/show/402045.The_Mists_of_Avalon
The Amulet of Samarkand (Bartimaeus, #1)	Jonathan Stroud	3.99	127,167	https://www.goodreads.com/book/show/334123.The_Amulet_of_Samarkand
The Sword of Shannara Trilogy (Shannara, #1-3)	Terry Brooks	3.96	22,643	https://www.goodreads.com/book/show/478894.The_Sword_of_Shannara_Trilogy
Graceling (Graceling Realm, #1)	Kristin Cashore	4.06	428,103	https://www.goodreads.com/book/show/3236307-graceling
The Riftwar Saga (The Riftwar Saga, #1-4)	Raymond E. Feist	4.40	11,621	https://www.goodreads.com/book/show/2041545.The_Riftwar_Saga
The Dark Elf Trilogy Collector's Edition (Forgotten Realms: Dark Elf Trilogy, #1-3; Legend of Drizzt, #1-3)	R.A. Salvatore	4.34	26,830	https://www.goodreads.com/book/show/68418.The_Dark_Elf_Trilogy_Collector_s_Edition
Kushiel's Dart (Phèdre's Trilogy, #1)	Jacqueline Carey	3.98	81,673	https://www.goodreads.com/book/show/153008.Kushiel_s_Dart
Dragonlance Chronicles (Dragonlance #1-3)	Margaret Weis	4.23	20,230	https://www.goodreads.com/book/show/68380.Dragonlance_Chronicles
Redwall (Redwall, #1)	Brian Jacques	4.10	114,106	https://www.goodreads.com/book/show/7996.Redwall
The Lost Hero (The Heroes of Olympus, #1)	Rick Riordan	4.31	713,042	https://www.goodreads.com/book/show/7736182-the-lost-hero
Furies of Calderon (Codex Alera, #1)	Jim Butcher	4.10	104,132	https://www.goodreads.com/book/show/29396.Furies_of_Calderon
The Great Book of Amber (The Chronicles of Amber, #1-10)	Roger Zelazny	4.31	24,787	https://www.goodreads.com/book/show/5367.The_Great_Book_of_Amber
The Dragonbone Chair (Memory, Sorrow, and Thorn, #1)	Tad Williams	3.94	68,898	https://www.goodreads.com/book/show/91981.The_Dragonbone_Chair
Poison Study (Study, #1)	Maria V. Snyder	4.07	163,744	https://www.goodreads.com/book/show/60510.Poison_Study
The Dark Is Rising Sequence (The Dark is Rising, #1-5)	Susan Cooper	4.28	16,272	https://www.goodreads.com/book/show/11306.The_Dark_Is_Rising_Sequence
Daughter of the Forest (Sevenwaters, #1)	Juliet Marillier	4.23	62,632	https://www.goodreads.com/book/show/13928.Daughter_of_the_Forest
Howl’s Moving Castle (Howl’s Moving Castle, #1)	Diana Wynne Jones	4.25	262,782	https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle
The Magicians' Guild (Black Magician Trilogy, #1)	Trudi Canavan	3.93	80,120	https://www.goodreads.com/book/show/28249.The_Magicians_Guild
The Wonderful Wizard of Oz (Oz, #1)	L. Frank Baum	3.97	410,634	https://www.goodreads.com/book/show/236093.The_Wonderful_Wizard_of_Oz
Wild Magic (Immortals, #1)	Tamora Pierce	4.24	82,818	https://www.goodreads.com/book/show/13836.Wild_Magic
The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3)	Stephen R. Donaldson	3.80	14,744	https://www.goodreads.com/book/show/179033.The_Chronicles_of_Thomas_Covenant_the_Unbeliever
Ship of Magic (Liveship Traders, #1)	Robin Hobb	4.14	71,896	https://www.goodreads.com/book/show/45100.Ship_of_Magic
The Warded Man (Demon Cycle, #1)	Peter V. Brett	4.23	117,925	https://www.goodreads.com/book/show/3428935-the-warded-man
The Song of the Lioness Quartet (Song of the Lioness, #1-4)	Tamora Pierce	4.59	13,500	https://www.goodreads.com/book/show/492490.The_Song_of_the_Lioness_Quartet
The Chronicles of Prydain (The Chronicles of Prydain #1-5)	Lloyd Alexander	4.41	6,917	https://www.goodreads.com/book/show/463063.The_Chronicles_of_Prydain
The Thief (The Queen's Thief, #1)	Megan Whalen Turner	3.85	80,590	https://www.goodreads.com/book/show/448873.The_Thief
The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness (The Black Jewels, #1-3)	Anne Bishop	4.39	13,250	https://www.goodreads.com/book/show/47953.The_Black_Jewels_Trilogy
The Time Quartet Box Set (Time Quartet, #1-4)	Madeleine L'Engle	4.35	11,081	https://www.goodreads.com/book/show/7619.The_Time_Quartet_Box_Set
His Majesty's Dragon (Temeraire, #1)	Naomi Novik	4.03	90,494	https://www.goodreads.com/book/show/28876.His_Majesty_s_Dragon
The Once and Future King (The Once and Future King, #1-4)	T.H. White	4.04	109,121	https://www.goodreads.com/book/show/43545.The_Once_and_Future_King
The Angel Experiment (Maximum Ride, #1)	James Patterson	4.06	218,811	https://www.goodreads.com/book/show/13152.The_Angel_Experiment
The Fionavar Tapestry (The Fionavar Tapestry #1-3)	Guy Gavriel Kay	4.22	7,023	https://www.goodreads.com/book/show/1148721.The_Fionavar_Tapestry
A Great and Terrible Beauty (Gemma Doyle, #1)	Libba Bray	3.78	228,305	https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty
Preludes & Nocturnes (The Sandman, #1)	Neil Gaiman	4.22	234,580	https://www.goodreads.com/book/show/23754.Preludes_Nocturnes
The Enchanted Forest Chronicles (The Enchanted Forest Chronicles, #1-4)	Patricia C. Wrede	4.49	10,099	https://www.goodreads.com/book/show/86238.The_Enchanted_Forest_Chronicles
The Crystal Cave (Arthurian Saga, #1)	Mary Stewart	4.13	43,269	https://www.goodreads.com/book/show/82192.The_Crystal_Cave
A Spell for Chameleon (Xanth, #1)	Piers Anthony	3.89	48,413	https://www.goodreads.com/book/show/76664.A_Spell_for_Chameleon
Clockwork Angel (The Infernal Devices, #1)	Cassandra Clare	4.30	755,823	https://www.goodreads.com/book/show/7171637-clockwork-angel
Fool's Errand (Tawny Man, #1)	Robin Hobb	4.29	84,522	https://www.goodreads.com/book/show/68488.Fool_s_Errand
The Icewind Dale Trilogy Collector's Edition (Forgotten Realms: Icewind Dale, #1-3; Legend of Drizzt, #4-6)	R.A. Salvatore	4.30	15,639	https://www.goodreads.com/book/show/62485.The_Icewind_Dale_Trilogy_Collector_s_Edition
The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)	Michael Scott	3.84	155,333	https://www.goodreads.com/book/show/17402605-the-alchemyst
Fablehaven (Fablehaven, #1)	Brandon Mull	4.09	149,006	https://www.goodreads.com/book/show/44652.Fablehaven
Chronicles of the Black Company (The Chronicles of the Black Company, #1-3)	Glen Cook	4.22	23,306	https://www.goodreads.com/book/show/400924.Chronicles_of_the_Black_Company
The City of Ember (Book of Ember, #1)	Jeanne DuPrau	3.87	266,622	https://www.goodreads.com/book/show/307791.The_City_of_Ember
Magic Kingdom for Sale/Sold (Magic Kingdom of Landover, #1)	Terry Brooks	3.90	35,364	https://www.goodreads.com/book/show/15547.Magic_Kingdom_for_Sale_Sold
Prince of Thorns (The Broken Empire, #1)	Mark Lawrence	3.85	105,386	https://www.goodreads.com/book/show/9579634-prince-of-thorns
Theft of Swords (The Riyria Revelations, #1-2)	Michael J. Sullivan	4.18	63,619	https://www.goodreads.com/book/show/10790290-theft-of-swords
The Ruins of Gorlan (Ranger's Apprentice, #1)	John Flanagan	4.21	138,188	https://www.goodreads.com/book/show/60400.The_Ruins_of_Gorlan
On a Pale Horse (Incarnations of Immortality, #1)	Piers Anthony	4.14	37,347	https://www.goodreads.com/book/show/76658.On_a_Pale_Horse
Throne of Glass (Throne of Glass, #1)	Sarah J. Maas	4.18	768,121	https://www.goodreads.com/book/show/7896527-throne-of-glass
Elric of Melniboné (The Elric Saga, #1)	Michael Moorcock	3.89	24,123	https://www.goodreads.com/book/show/30036.Elric_of_Melnibon_
The Hunger Games (The Hunger Games, #1)	Suzanne Collins	4.32	7,068,543	https://www.goodreads.com/book/show/2767052-the-hunger-games
The Goose Girl (The Books of Bayern, #1)	Shannon Hale	4.09	147,329	https://www.goodreads.com/book/show/179064.The_Goose_Girl
Luck in the Shadows (Nightrunner, #1)	Lynn Flewelling	4.08	19,576	https://www.goodreads.com/book/show/74270.Luck_in_the_Shadows
The Archon of Peace (Sovereign, #1)	Juddy Anderson C. Punzalan	4.60	241	https://www.goodreads.com/book/show/56236618-the-archon-of-peace
Desert Outcast (Sovereign, #0.5)	Juddy Anderson C. Punzalan	4.58	205	https://www.goodreads.com/book/show/57213211-desert-outcast
Legend (The Drenai Saga, #1)	David Gemmell	4.27	28,498	https://www.goodreads.com/book/show/618177.Legend
The Deed of Paksenarrion (The Deed of Paksenarrion, #1-3)	Elizabeth Moon	4.31	12,661	https://www.goodreads.com/book/show/96281.The_Deed_of_Paksenarrion
The Diamond Throne (The Elenium, #1)	David Eddings	3.96	33,316	https://www.goodreads.com/book/show/616678.The_Diamond_Throne
Queen's Own (Valdemar: Arrows of the Queen #1-3)	Mercedes Lackey	4.42	7,205	https://www.goodreads.com/book/show/14015.Queen_s_Own
Riddle-Master (Riddle-Master, #1-3)	Patricia A. McKillip	4.22	10,455	https://www.goodreads.com/book/show/19821.Riddle_Master
The Curse of Chalion (World of the Five Gods, #1)	Lois McMaster Bujold	4.10	39,539	https://www.goodreads.com/book/show/61886.The_Curse_of_Chalion
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,977	https://www.goodreads.com/book/show/38619.Magic_Bites
Dragon Prince (Dragon Prince, #1)	Melanie Rawn	3.95	15,564	https://www.goodreads.com/book/show/185289.Dragon_Prince
The Scions of Shannara (Heritage of Shannara, #1)	Terry Brooks	4.00	31,256	https://www.goodreads.com/book/show/34988.The_Scions_of_Shannara
Outlander (Outlander, #1)	Diana Gabaldon	4.23	914,927	https://www.goodreads.com/book/show/10964.Outlander
Black Sun Rising (The Coldfire Trilogy, #1)	C.S. Friedman	3.94	18,027	https://www.goodreads.com/book/show/36159.Black_Sun_Rising
The Chronicles of Chrestomanci, Volume 1 (Chrestomanci, #1-2)	Diana Wynne Jones	4.22	14,607	https://www.goodreads.com/book/show/34284.The_Chronicles_of_Chrestomanci_Volume_1
The Coming of Conan the Cimmerian (Conan the Cimmerian, #1)	Robert E. Howard	4.15	12,388	https://www.goodreads.com/book/show/33482.The_Coming_of_Conan_the_Cimmerian
Green Rider (Green Rider, #1)	Kristen Britain	4.03	38,846	https://www.goodreads.com/book/show/147843.Green_Rider
Septimus Heap (Septimus Heap, #1-4)	Angie Sage	4.14	773	https://www.goodreads.com/book/show/6940978-septimus-heap
The Last Herald-Mage (Valdemar: The Last Herald-Mage, #1-3)	Mercedes Lackey	4.49	6,273	https://www.goodreads.com/book/show/28762.The_Last_Herald_Mage
Shadow & Claw (The Book of the New Sun #1-2)	Gene Wolfe	4.02	17,043	https://www.goodreads.com/book/show/40992.Shadow_Claw
Daggerspell (Deverry, #1)	Katharine Kerr	3.90	14,880	https://www.goodreads.com/book/show/498214.Daggerspell
First Test (Protector of the Small, #1)	Tamora Pierce	4.16	64,601	https://www.goodreads.com/book/show/153784.First_Test
Trickster's Choice (Daughter of the Lioness, #1)	Tamora Pierce	4.19	70,455	https://www.goodreads.com/book/show/24431.Trickster_s_Choice
The Black Prism (Lightbringer, #1)	Brent Weeks	4.21	112,858	https://www.goodreads.com/book/show/7165300-the-black-prism
Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)	Laini Taylor	3.98	352,454	https://www.goodreads.com/book/show/8490112-daughter-of-smoke-bone
Rhapsody: Child of Blood (Symphony of Ages, #1)	Elizabeth Haydon	3.96	19,112	https://www.goodreads.com/book/show/261604.Rhapsody
Divergent (Divergent, #1)	Veronica Roth	4.17	3,282,132	https://www.goodreads.com/book/show/13335037-divergent
