title	author	ave_rating	no_rating	link
Halfway to the Grave (Night Huntress, #1)	Jeaniene Frost	4.12	151,870	https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Darkfever (Fever, #1)	Karen Marie Moning	4.04	176,897	https://www.goodreads.com/book/show/112750.Darkfever
Magic Bites (Kate Daniels, #1)	Ilona Andrews	4.03	118,977	https://www.goodreads.com/book/show/38619.Magic_Bites
Moon Called (Mercy Thompson, #1)	Patricia Briggs	4.12	197,591	https://www.goodreads.com/book/show/71811.Moon_Called
Dark Lover (Black Dagger Brotherhood, #1)	J.R. Ward	4.16	316,699	https://www.goodreads.com/book/show/42899.Dark_Lover
Angels' Blood (Guild Hunter, #1)	Nalini Singh	4.06	86,927	https://www.goodreads.com/book/show/3819326-angels-blood
Cry Wolf (Alpha & Omega, #1)	Patricia Briggs	4.11	96,558	https://www.goodreads.com/book/show/2355575.Cry_Wolf
Shadowfever (Fever, #5)	Karen Marie Moning	4.38	105,054	https://www.goodreads.com/book/show/7304203-shadowfever
A Hunger Like No Other (Immortals After Dark, #1)	Kresley Cole	4.12	77,306	https://www.goodreads.com/book/show/14384.A_Hunger_Like_No_Other
Dead Until Dark (Sookie Stackhouse, #1)	Charlaine Harris	3.96	523,117	https://www.goodreads.com/book/show/301082.Dead_Until_Dark
First Grave on the Right (Charley Davidson, #1)	Darynda Jones	4.00	84,214	https://www.goodreads.com/book/show/8788554-first-grave-on-the-right
Dead Witch Walking (The Hollows, #1)	Kim Harrison	4.01	124,159	https://www.goodreads.com/book/show/30264.Dead_Witch_Walking
Lover Awakened (Black Dagger Brotherhood, #3)	J.R. Ward	4.43	170,732	https://www.goodreads.com/book/show/42900.Lover_Awakened
Once Burned (Night Prince, #1)	Jeaniene Frost	4.19	66,346	https://www.goodreads.com/book/show/7039218-once-burned
Some Girls Bite (Chicagoland Vampires, #1)	Chloe Neill	3.98	63,405	https://www.goodreads.com/book/show/4447622-some-girls-bite
Dreamfever (Fever, #4)	Karen Marie Moning	4.37	97,787	https://www.goodreads.com/book/show/6050298-dreamfever
Bloodfever (Fever, #2)	Karen Marie Moning	4.25	102,880	https://www.goodreads.com/book/show/344262.Bloodfever
Slave to Sensation (Psy-Changeling, #1)	Nalini Singh	4.07	70,491	https://www.goodreads.com/book/show/178476.Slave_to_Sensation
Guilty Pleasures (Anita Blake, Vampire Hunter, #1)	Laurell K. Hamilton	4.01	141,270	https://www.goodreads.com/book/show/30281.Guilty_Pleasures
Bitten (Otherworld, #1)	Kelley Armstrong	4.00	101,859	https://www.goodreads.com/book/show/11918.Bitten
Faefever (Fever, #3)	Karen Marie Moning	4.29	98,268	https://www.goodreads.com/book/show/2702704-faefever
Magic Burns (Kate Daniels, #2)	Ilona Andrews	4.30	80,665	https://www.goodreads.com/book/show/1811543.Magic_Burns
Lover Eternal (Black Dagger Brotherhood, #2)	J.R. Ward	4.32	183,244	https://www.goodreads.com/book/show/35729.Lover_Eternal
One Foot in the Grave (Night Huntress, #2)	Jeaniene Frost	4.28	101,220	https://www.goodreads.com/book/show/2168860.One_Foot_in_the_Grave
Iron Kissed (Mercy Thompson, #3)	Patricia Briggs	4.31	119,296	https://www.goodreads.com/book/show/1412138.Iron_Kissed
Magic Strikes (Kate Daniels, #3)	Ilona Andrews	4.41	79,230	https://www.goodreads.com/book/show/4345498-magic-strikes
Blood Bound (Mercy Thompson, #2)	Patricia Briggs	4.29	119,484	https://www.goodreads.com/book/show/285205.Blood_Bound
First Drop of Crimson (Night Huntress World, #1)	Jeaniene Frost	4.13	56,784	https://www.goodreads.com/book/show/6547187-first-drop-of-crimson
Fantasy Lover (Hunter Legends, #1)	Sherrilyn Kenyon	4.14	90,590	https://www.goodreads.com/book/show/84136.Fantasy_Lover
Dragon Bound (Elder Races, #1)	Thea Harrison	4.07	48,463	https://www.goodreads.com/book/show/9637479-dragon-bound
Magic Slays (Kate Daniels, #5)	Ilona Andrews	4.39	69,905	https://www.goodreads.com/book/show/8559047-magic-slays
Pleasure Unbound (Demonica, #1)	Larissa Ione	4.03	54,380	https://www.goodreads.com/book/show/2679633-pleasure-unbound
The Darkest Night (Lords of the Underworld, #1)	Gena Showalter	4.05	82,918	https://www.goodreads.com/book/show/476543.The_Darkest_Night
A Discovery of Witches (All Souls Trilogy, #1)	Deborah Harkness	4.00	430,226	https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
Written in Red (The Others, #1)	Anne Bishop	4.24	56,009	https://www.goodreads.com/book/show/15711341-written-in-red
At Grave's End (Night Huntress, #3)	Jeaniene Frost	4.27	87,586	https://www.goodreads.com/book/show/3570231-at-grave-s-end
Lover Revealed (Black Dagger Brotherhood, #4)	J.R. Ward	4.28	130,176	https://www.goodreads.com/book/show/42898.Lover_Revealed
On the Edge (The Edge, #1)	Ilona Andrews	4.02	42,762	https://www.goodreads.com/book/show/6329547-on-the-edge
Silver Borne (Mercy Thompson, #5)	Patricia Briggs	4.36	101,057	https://www.goodreads.com/book/show/6587387-silver-borne
Lover Unbound (Black Dagger Brotherhood, #5)	J.R. Ward	4.31	128,385	https://www.goodreads.com/book/show/304027.Lover_Unbound
Lover Mine (Black Dagger Brotherhood, #8)	J.R. Ward	4.38	109,378	https://www.goodreads.com/book/show/7046495-lover-mine
Lover Avenged (Black Dagger Brotherhood, #7)	J.R. Ward	4.35	111,539	https://www.goodreads.com/book/show/5098079-lover-avenged
Succubus Blues (Georgina Kincaid, #1)	Richelle Mead	3.93	56,565	https://www.goodreads.com/book/show/235718.Succubus_Blues
Magic Bleeds (Kate Daniels, #4)	Ilona Andrews	4.42	77,756	https://www.goodreads.com/book/show/6479550-magic-bleeds
Spider's Bite (Elemental Assassin, #1)	Jennifer Estep	3.87	34,890	https://www.goodreads.com/book/show/6611038-spider-s-bite
Acheron (Dark-Hunter, #14)	Sherrilyn Kenyon	4.54	58,495	https://www.goodreads.com/book/show/2299110.Acheron
Bone Crossed (Mercy Thompson, #4)	Patricia Briggs	4.32	103,318	https://www.goodreads.com/book/show/3128411-bone-crossed
This Side of the Grave (Night Huntress, #5)	Jeaniene Frost	4.25	61,953	https://www.goodreads.com/book/show/6871617-this-side-of-the-grave
Kiss of Midnight (Midnight Breed, #1)	Lara Adrian	3.92	65,329	https://www.goodreads.com/book/show/704043.Kiss_of_Midnight
Storm Front (The Dresden Files, #1)	Jim Butcher	3.98	324,396	https://www.goodreads.com/book/show/47212.Storm_Front
River Marked (Mercy Thompson, #6)	Patricia Briggs	4.26	83,448	https://www.goodreads.com/book/show/8087906-river-marked
Lover Reborn (Black Dagger Brotherhood, #10)	J.R. Ward	4.31	80,293	https://www.goodreads.com/book/show/10993282-lover-reborn
Lover at Last (Black Dagger Brotherhood, #11)	J.R. Ward	4.28	67,830	https://www.goodreads.com/book/show/13570854-lover-at-last
Grave Witch (Alex Craft, #1)	Kalayna Price	3.93	33,298	https://www.goodreads.com/book/show/7823038-grave-witch
Soulless (Parasol Protectorate, #1)	Gail Carriger	3.87	112,727	https://www.goodreads.com/book/show/6381205-soulless
Lover Unleashed (Black Dagger Brotherhood, #9)	J.R. Ward	4.26	90,525	https://www.goodreads.com/book/show/8492319-lover-unleashed
Destined for an Early Grave (Night Huntress, #4)	Jeaniene Frost	4.31	83,203	https://www.goodreads.com/book/show/5604848-destined-for-an-early-grave
A Kiss of Shadows (Merry Gentry, #1)	Laurell K. Hamilton	4.00	57,371	https://www.goodreads.com/book/show/139417.A_Kiss_of_Shadows
Touch the Dark (Cassandra Palmer, #1)	Karen Chance	3.71	36,686	https://www.goodreads.com/book/show/67513.Touch_the_Dark
Archangel's Kiss (Guild Hunter, #2)	Nalini Singh	4.19	55,422	https://www.goodreads.com/book/show/6582637-archangel-s-kiss
Lover Enshrined (Black Dagger Brotherhood, #6)	J.R. Ward	4.11	112,819	https://www.goodreads.com/book/show/1240662.Lover_Enshrined
Mermen (The Mermen Trilogy, #1)	Mimi Jean Pamfiloff	3.71	2,543	https://www.goodreads.com/book/show/24958079-mermen
Beyond the Highland Mist (Highlander, #1)	Karen Marie Moning	3.95	70,502	https://www.goodreads.com/book/show/743599.Beyond_the_Highland_Mist
Interview with the Vampire (The Vampire Chronicles, #1)	Anne Rice	4.00	522,952	https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire
Stray (Shifters, #1)	Rachel Vincent	3.77	37,652	https://www.goodreads.com/book/show/793399.Stray
Dead to the World (Sookie Stackhouse, #4)	Charlaine Harris	4.10	260,711	https://www.goodreads.com/book/show/140077.Dead_to_the_World
Skinwalker (Jane Yellowrock, #1)	Faith Hunter	3.91	37,441	https://www.goodreads.com/book/show/5585788-skinwalker
Second Grave on the Left (Charley Davidson, #2)	Darynda Jones	4.23	49,989	https://www.goodreads.com/book/show/9565045-second-grave-on-the-left
Burn for Me (Hidden Legacy, #1)	Ilona Andrews	4.31	50,060	https://www.goodreads.com/book/show/20705702-burn-for-me
Storm Born (Dark Swan, #1)	Richelle Mead	3.87	33,336	https://www.goodreads.com/book/show/2754510-storm-born
Demon from the Dark (Immortals After Dark, #9)	Kresley Cole	4.41	46,456	https://www.goodreads.com/book/show/7098304-demon-from-the-dark
One Grave at a Time (Night Huntress, #6)	Jeaniene Frost	4.21	48,167	https://www.goodreads.com/book/show/7954556-one-grave-at-a-time
Hunting Ground (Alpha & Omega, #2)	Patricia Briggs	4.25	66,054	https://www.goodreads.com/book/show/5292853-hunting-ground
Twice Tempted (Night Prince, #2)	Jeaniene Frost	4.24	42,139	https://www.goodreads.com/book/show/13125234-twice-tempted
Midnight's Daughter (Dorina Basarab, #1)	Karen Chance	4.00	19,230	https://www.goodreads.com/book/show/3072254-midnight-s-daughter
Eternal Kiss of Darkness (Night Huntress World, #2)	Jeaniene Frost	4.18	43,603	https://www.goodreads.com/book/show/6871616-eternal-kiss-of-darkness
Frost Burned (Mercy Thompson, #7)	Patricia Briggs	4.34	68,943	https://www.goodreads.com/book/show/13413589-frost-burned
Covet (Fallen Angels, #1)	J.R. Ward	3.90	50,162	https://www.goodreads.com/book/show/6289920-covet
Unholy Ghosts (Downside Ghosts, #1)	Stacia Kane	3.65	18,014	https://www.goodreads.com/book/show/6261189-unholy-ghosts
Kitty and the Midnight Hour (Kitty Norville #1)	Carrie Vaughn	3.67	33,727	https://www.goodreads.com/book/show/14461.Kitty_and_the_Midnight_Hour
Friday Night Bites (Chicagoland Vampires, #2)	Chloe Neill	4.10	48,971	https://www.goodreads.com/book/show/6319978-friday-night-bites
Born of Night (The League: Nemesis Rising #1)	Sherrilyn Kenyon	4.19	26,051	https://www.goodreads.com/book/show/2992061-born-of-night
Magic Rises (Kate Daniels, #6)	Ilona Andrews	4.43	53,781	https://www.goodreads.com/book/show/11544421-magic-rises
Night Pleasures (Dark-Hunter, #1)	Sherrilyn Kenyon	4.18	77,273	https://www.goodreads.com/book/show/6944032-night-pleasures
Rosemary and Rue (October Daye, #1)	Seanan McGuire	3.76	36,428	https://www.goodreads.com/book/show/6294549-rosemary-and-rue
Dragon Actually (Dragon Kin, #1)	G.A. Aiken	3.91	29,430	https://www.goodreads.com/book/show/3295695-dragon-actually
Eternal Rider (Lords of Deliverance, #1, Demonica, #6)	Larissa Ione	4.15	25,295	https://www.goodreads.com/book/show/8843801-eternal-rider
Feral Sins (The Phoenix Pack, #1)	Suzanne Wright	4.03	48,008	https://www.goodreads.com/book/show/13522957-feral-sins
Undead and Unwed (Undead, #1)	MaryJanice Davidson	3.80	57,518	https://www.goodreads.com/book/show/421129.Undead_and_Unwed
A Quick Bite (Argeneau #1)	Lynsay Sands	3.90	43,464	https://www.goodreads.com/book/show/38568.A_Quick_Bite
How to Marry a Millionaire Vampire (Love at Stake, #1)	Kerrelyn Sparks	3.84	37,198	https://www.goodreads.com/book/show/263179.How_to_Marry_a_Millionaire_Vampire
Twice Bitten (Chicagoland Vampires, #3)	Chloe Neill	4.18	50,858	https://www.goodreads.com/book/show/7060582-twice-bitten
Father Mine (Black Dagger Brotherhood, #6.5)	J.R. Ward	4.44	41,722	https://www.goodreads.com/book/show/5153799-father-mine
Archangel's Consort (Guild Hunter, #3)	Nalini Singh	4.20	41,934	https://www.goodreads.com/book/show/7307503-archangel-s-consort
Third Grave Dead Ahead (Charley Davidson, #3)	Darynda Jones	4.33	43,792	https://www.goodreads.com/book/show/12043770-third-grave-dead-ahead
The Mane Event (Pride, #1)	Shelly Laurenston	3.94	26,396	https://www.goodreads.com/book/show/341027.The_Mane_Event
Lothaire (Immortals After Dark, #11)	Kresley Cole	4.36	44,946	https://www.goodreads.com/book/show/10790516-lothaire
Gunmetal Magic (Kate Daniels, #5.5)	Ilona Andrews	4.23	36,263	https://www.goodreads.com/book/show/12288282-gunmetal-magic
Wicked Nights (Angels of the Dark, #1)	Gena Showalter	4.05	26,643	https://www.goodreads.com/book/show/12900491-wicked-nights
The Dream-Hunter (Dark-Hunter, #10; Dream-Hunter, #1)	Sherrilyn Kenyon	4.05	43,911	https://www.goodreads.com/book/show/84132.The_Dream_Hunter
Kiss of Snow (Psy-Changeling, #10)	Nalini Singh	4.45	29,084	https://www.goodreads.com/book/show/8712343-kiss-of-snow
Night Broken (Mercy Thompson, #8)	Patricia Briggs	4.40	59,094	https://www.goodreads.com/book/show/17562900-night-broken
Caressed by Ice (Psy-Changeling #3)	Nalini Singh	4.26	38,412	https://www.goodreads.com/book/show/458034.Caressed_by_Ice
Clean Sweep (Innkeeper Chronicles, #1)	Ilona Andrews	4.14	45,805	https://www.goodreads.com/book/show/19090384-clean-sweep
The Mating (Law of the Lycans, #1)	Nicky Charles	3.95	29,891	https://www.goodreads.com/book/show/7785207-the-mating
Pack Challenge (Magnus Pack, #1)	Shelly Laurenston	3.91	23,128	https://www.goodreads.com/book/show/112539.Pack_Challenge
Fair Game (Alpha & Omega, #3; Mercy Thompson World - Complete #9)	Patricia Briggs	4.31	51,163	https://www.goodreads.com/book/show/7942786-fair-game
The Harlequin (Anita Blake, Vampire Hunter #15)	Laurell K. Hamilton	3.91	45,379	https://www.goodreads.com/book/show/30225.The_Harlequin
The Iron Duke (Iron Seas, #1)	Meljean Brook	3.85	17,057	https://www.goodreads.com/book/show/7864587-the-iron-duke
Sunshine	Robin McKinley	3.84	41,437	https://www.goodreads.com/book/show/8088.Sunshine
My Familiar Stranger (Knights of Black Swan, #1)	Victoria Danann	3.92	9,577	https://www.goodreads.com/book/show/18072724-my-familiar-stranger
Fighting Destiny (The Fae Chronicles, #1)	Amelia Hutchins	3.98	37,922	https://www.goodreads.com/book/show/17927559-fighting-destiny
The Darkest Kiss (Lords of the Underworld, #2)	Gena Showalter	4.22	54,890	https://www.goodreads.com/book/show/2498983.The_Darkest_Kiss
Fourth Grave Beneath My Feet (Charley Davidson, #4)	Darynda Jones	4.33	38,910	https://www.goodreads.com/book/show/13538992-fourth-grave-beneath-my-feet
Nice Girls Don't Have Fangs (Jane Jameson, #1)	Molly Harper	3.89	26,703	https://www.goodreads.com/book/show/5618698-nice-girls-don-t-have-fangs
Up from the Grave (Night Huntress, #7)	Jeaniene Frost	4.24	32,113	https://www.goodreads.com/book/show/10357792-up-from-the-grave
The Darkest Pleasure (Lords of the Underworld, #3)	Gena Showalter	4.25	47,849	https://www.goodreads.com/book/show/2712967-the-darkest-pleasure
